month_date,month,year,earliest_timestamp,occurences
Jul 12,7,2012,2012-07-01T00:05:00,16992
Aug 12,8,2012,2012-08-01T00:01:00,17142
Sep 12,9,2012,2012-09-01T00:00:00,16535
Oct 12,10,2012,2012-10-01T00:08:00,16864
Nov 12,11,2012,2012-11-01T00:01:00,15889
Dec 12,12,2012,2012-12-01T00:00:00,17123
Jan 13,1,2013,2013-01-01T00:01:00,15643
Feb 13,2,2013,2013-02-01T00:06:00,14399
Mar 13,3,2013,2013-03-01T00:01:00,16509
Apr 13,4,2013,2013-04-01T00:01:00,16439
May 13,5,2013,2013-05-01T00:20:00,18488
Jun 13,6,2013,2013-06-01T00:01:00,18205
Jul 13,7,2013,2013-07-01T00:01:00,17578
Aug 13,8,2013,2013-08-01T00:05:00,16759
Sep 13,9,2013,2013-09-01T00:01:00,16956
Oct 13,10,2013,2013-10-01T00:01:00,17713
Nov 13,11,2013,2013-11-01T00:05:00,17771
Dec 13,12,2013,2013-12-01T00:01:00,17280
Jan 14,1,2014,2014-01-01T00:01:00,16674
Feb 14,2,2014,2014-02-01T00:05:00,15738
Mar 14,3,2014,2014-03-01T00:01:00,15861
Apr 14,4,2014,2014-04-01T00:01:00,16371
May 14,5,2014,2014-05-01T00:01:00,18276
Jun 14,6,2014,2014-06-01T00:01:00,18410
Jul 14,7,2014,2014-07-01T00:03:00,17458
Aug 14,8,2014,2014-08-01T00:05:00,17093
Sep 14,9,2014,2014-09-01T00:05:00,17828
Oct 14,10,2014,2014-10-01T00:07:00,18086
Nov 14,11,2014,2014-11-01T00:01:00,16983
Dec 14,12,2014,2014-12-01T00:09:00,17255
Jan 15,1,2015,2015-01-01T00:20:00,16127
Feb 15,2,2015,2015-02-01T00:01:00,15713
Mar 15,3,2015,2015-03-01T00:01:00,17955
Apr 15,4,2015,2015-04-01T00:01:00,16793
May 15,5,2015,2015-05-01T00:10:00,19273
Jun 15,6,2015,2015-06-01T00:06:00,18825
Jul 15,7,2015,2015-07-01T00:01:00,18770
Aug 15,8,2015,2015-08-01T00:00:00,18980
Sep 15,9,2015,2015-09-01T00:01:00,18514
