month,day_of_week,total_collisions,temp_c,slp_c,visib_c,wdsp_c,prcp_c,fog_c,avg_speed_all
1,1,272,50.3,1009.6,6.2,12.4,0.63,1,37.865727472899728
1,2,201,45.8,1017.7,10.0,7.6,0.2,0,39.071282181571817
1,3,220,45.6,1019.4,5.8,7.3,0.0,1,34.807424345076782
1,4,246,52.4,1011.3,3.4,8.0,0.23,1,34.558285060975606
1,5,228,49.0,1012.8,2.1,10.3,0.16,1,34.564526592140922
1,6,229,46.6,1013.4,3.7,9.0,0.1,0,33.716015977868111
1,7,177,41.2,1017.1,9.1,7.5,0.1,0,37.339038222673892
1,1,183,36.9,1022.8,10.0,9.9,0.0,0,38.826405826558265
1,2,239,41.1,1013.7,9.8,8.2,0.0,0,34.952428861788619
1,3,247,39.3,1013.2,10.0,9.7,0.02,0,35.165068694937823
1,4,212,37.5,1022.0,10.0,6.9,0.0,0,35.419192073170734
1,5,275,39.6,1023.8,10.0,10.4,0.0,0,31.786877258355918
1,6,294,50.0,1008.1,4.5,14.4,0.18,1,34.322558029928125
1,7,223,36.7,1015.5,9.5,9.9,0.03,0,34.263204495979387
1,1,238,36.2,1022.4,10.0,6.6,0.0,0,35.77271087398374
1,2,251,45.2,996.6,2.9,13.2,0.67,1,32.886240860457896
1,3,232,36.3,1013.9,9.8,15.2,0.04,0,33.752845246160796
1,4,251,36.9,1024.5,10.0,7.3,0.0,0,32.867181748791452
1,5,252,47.6,1003.4,5.5,22.4,0.85,0,32.458447662601628
1,6,229,38.4,1015.4,9.9,10.7,0.01,0,33.405032746160792
1,7,251,39.7,1023.4,10.0,8.1,0.0,0,35.257379742547428
1,1,210,43.9,1025.9,9.6,9.3,0.0,0,37.204279018550416
1,2,225,44.6,1020.3,9.4,7.9,0.02,1,33.724658705962057
1,3,254,38.2,1019.4,7.6,9.5,0.0,1,31.78274785456188
2,4,251,30.8,1022.7,8.4,10.3,0.02,0,31.8986060298103
2,5,259,28.2,1021.8,10.0,6.0,0.0,0,32.304471388645794
2,6,305,30.4,1008.6,10.0,20.7,0.0,0,32.576057475158088
2,7,221,6.2,1028.8,10.0,19.3,0.0,0,36.343225121101383
2,1,205,36.3,1025.0,9.4,13.5,0.0,0,36.564362199371125
2,2,251,42.3,1014.4,6.8,11.1,0.0,1,33.041752201897019
2,3,252,34.6,1023.5,10.0,17.6,0.0,0,32.820245878500451
2,4,227,40.8,1019.2,9.2,10.7,0.05,0,32.387690550070523
2,5,232,39.9,1024.6,10.0,6.7,0.0,0,32.723359111639894
2,6,293,48.1,1010.2,7.1,14.8,0.0,1,31.479806813281588
2,7,258,40.5,1018.3,10.0,13.0,0.0,0,34.196479394353368
2,1,201,38.2,1021.0,10.0,7.1,0.0,0,36.883493852459019
2,2,259,42.2,1001.8,7.8,14.6,0.53,0,34.190693590619311
2,3,253,40.3,1010.2,9.4,7.9,0.14,0,32.077023850182151
2,4,262,41.2,1020.7,9.1,9.3,0.0,0,32.262231614298727
2,5,259,47.6,1014.7,8.0,10.5,0.0,0,30.894640539617487
2,6,274,47.6,1006.1,1.4,11.9,0.05,1,30.230016222677595
2,7,251,32.3,1021.4,9.3,15.8,0.09,0,33.456180099388817
2,1,233,39.2,1027.4,10.0,8.2,0.0,0,34.976182098589135
2,2,184,46.2,1011.6,5.3,13.2,0.17,1,34.118984232695809
2,3,222,40.8,1003.7,8.8,8.7,0.0,0,31.922124967473327
2,4,207,40.4,1016.3,9.9,8.5,0.25,0,31.297978142076502
2,5,209,38.7,1014.2,7.4,10.2,0.14,0,31.288377416756177
2,6,268,38.9,1017.5,8.9,13.7,0.13,0,29.816456462641074
2,7,236,23.6,1030.8,8.7,11.5,0.0,0,33.843908811475409
2,1,230,27.9,1015.9,9.5,7.1,0.0,0,34.485167349726773
2,2,239,33.3,1012.8,10.0,11.3,0.0,0,31.283219856541045
2,3,225,34.8,1009.0,5.3,13.9,0.02,0,31.754271971766848
3,4,307,38.9,1018.0,9.4,9.8,0.01,0,30.419740429770883
3,5,244,43.2,1011.0,8.0,13.3,0.01,1,30.748767220767391
3,6,279,39.8,1013.8,10.0,11.9,0.0,0,31.229789674408014
3,7,265,39.8,1002.3,6.6,22.2,0.34,0,33.113004640040991
3,1,260,37.7,1015.4,9.1,11.7,0.02,0,32.250889685792352
3,2,250,42.0,1013.9,10.0,16.7,0.0,0,30.075596254553734
3,3,268,38.1,1005.7,10.0,14.5,0.0,0,30.357463115921391
3,4,230,36.6,1012.7,9.7,18.8,0.0,0,30.801442679872494
3,5,289,40.9,1017.2,10.0,14.8,0.0,0,30.346876696670954
3,6,283,38.7,1016.6,10.0,8.3,0.0,0,29.744911037093974
3,7,240,37.5,1006.9,9.0,14.7,0.09,0,33.421775956284151
3,1,206,39.6,1012.5,10.0,17.0,0.24,0,34.507619980993113
3,2,310,40.0,1015.5,9.5,9.3,0.0,0,30.46393613982978
3,3,264,42.1,998.2,7.6,17.8,0.18,0,32.219479005998288
3,4,273,38.2,998.4,9.3,20.7,0.23,0,30.418908255833855
3,5,241,40.7,1010.3,10.0,16.7,0.01,0,29.800812841530053
3,6,278,42.7,1010.3,9.9,9.8,0.0,0,30.801057889344264
3,7,229,45.3,1003.2,7.7,8.6,0.02,0,32.026440403005466
3,1,243,38.0,1010.0,10.0,14.6,0.01,0,33.001106557377049
3,2,282,36.5,1022.9,10.0,14.3,0.0,0,31.630796603891849
3,3,239,42.1,1026.1,10.0,10.8,0.0,0,30.328890854615494
3,4,216,42.8,1028.5,9.7,6.2,0.0,0,31.13154011707989
3,5,251,45.9,1018.0,6.5,9.7,0.03,1,30.166806703397611
3,6,240,46.3,1010.4,7.5,9.7,0.05,1,31.04148243801653
3,7,222,38.3,1019.0,9.5,10.0,0.0,0,32.220938934802568
3,1,283,46.5,1009.3,6.4,15.2,0.09,1,32.89643021120294
3,2,263,43.7,1016.8,9.7,6.5,0.0,0,31.146986340679522
3,3,240,42.1,1015.9,10.0,9.2,0.01,0,31.796250573921029
3,4,269,39.8,1019.3,9.6,6.6,0.0,0,30.037306301652894
3,5,291,39.4,1019.5,10.0,12.7,0.0,0,29.321936409550045
3,6,251,38.9,1026.2,10.0,9.8,0.0,0,30.910214359504131
4,7,272,48.8,1006.7,3.7,17.6,0.19,1,32.655583677685954
4,1,242,47.0,1004.3,7.8,14.5,0.31,1,33.3157016184573
4,2,257,40.3,1020.7,10.0,8.7,0.0,0,31.812756829660238
4,3,298,49.7,1018.9,10.0,9.1,0.0,0,31.346253443526169
4,4,270,47.5,1024.6,7.8,9.6,0.19,0,29.283544249311294
4,5,220,50.8,1021.5,4.6,9.3,0.02,1,32.219230371900828
4,6,206,50.0,1022.2,8.9,9.4,0.13,1,32.963976411845728
4,7,218,41.8,1029.4,10.0,9.9,0.11,0,33.496540274706085
4,1,208,40.9,1032.3,10.0,8.0,0.0,0,32.109001377410472
4,2,214,43.3,1030.1,10.0,10.6,0.0,0,31.166641414141413
4,3,204,47.9,1020.2,10.0,13.6,0.0,0,31.183086922834104
4,4,227,56.7,1007.9,10.0,14.7,0.0,0,31.629314451331496
4,5,233,53.4,1010.1,9.4,7.2,0.0,0,30.640850300089021
4,6,276,58.6,1010.7,10.0,8.4,0.0,0,29.485326561065197
4,7,236,53.3,1015.0,6.9,7.6,0.0,1,30.524211145546371
4,1,219,56.1,1011.4,5.0,6.1,0.46,1,32.288333620293848
4,2,253,51.1,1006.7,1.7,7.5,0.0,1,30.898876836547291
4,3,234,51.7,1006.6,8.3,12.6,0.0,1,29.223999368686869
4,4,267,48.2,1014.0,10.0,13.1,0.0,0,28.523727043158861
4,5,276,47.3,1021.5,10.0,9.1,0.0,0,28.132321510560146
4,6,303,47.8,1021.4,10.0,8.2,0.0,0,28.96826733241506
4,7,253,48.5,1019.6,10.0,13.7,0.0,0,30.161409837006428
4,1,266,49.6,1015.7,9.2,17.6,0.0,0,30.953429752066114
4,2,296,50.1,1015.9,7.8,6.8,0.19,1,30.920376779155188
4,3,255,48.9,1019.6,8.6,5.0,0.0,1,29.772198117539027
4,4,277,46.9,1023.5,10.0,6.7,0.0,0,29.355251664370982
