year,month,day,day_of_week,date,total_cyclist_injured,total_cyclist_killed,total_motorist_injured,total_motorist_killed,total_pedestrians_injured,total_pedestrians_killed,total_persons_injured,total_persons_killed,total_vehicles_involved,total_collisions,aggressive_driving_road_rage,animals_action,backing_unsafely,driver_inattention_distraction,driver_inexperience,driver_unwell_medical,environmental_defect_failure,failure_to_keep_right,failure_to_yield_right_of_way,following_too_closely,oversized_vehicle,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,physical_disability,reaction_to_uninvolved_vehicle,traffic_control_disregarded,turning_improperly,unsafe_speed,vehicle_failure,visual_distraction_obstruction,temp_c,dewp_c,slp_c,visib_c,wdsp_c,mxpsd_c,gust_c,max_c,min_c,prcp_c,sndp_c,fog_c,avg_speed_all,avg_speed_i87
2017,8,11,6,2017-08-11,19,0,132,0,21,0,172,0,1271,654,4,1,38,191,22,11,7,2,53,78,6,76,7,0,11,4,18,12,24,7,67.6,65.8,1021.4,9.3,5.8,8.0,,77.0,60.1,0.0,,1,23.90281917211329,44.941078431372574
2017,8,12,7,2017-08-12,21,0,111,1,25,0,157,1,1014,525,4,0,26,139,19,12,12,0,35,58,0,58,5,1,10,11,14,18,21,7,65.9,65.8,1016.4,4.2,5.8,12.0,,77.0,60.1,0.07,,1,28.174915637860082,52.792395833333359
2017,8,13,1,2017-08-13,18,0,151,0,17,0,186,0,1097,562,7,1,29,134,15,17,1,1,45,68,1,59,3,0,16,8,23,9,26,9,71.0,69.3,1012.4,6.1,8.3,14.0,,80.1,62.1,1.24,,1,27.994033950617283,40.184791666666683
2017,8,14,2,2017-08-14,18,1,105,0,15,0,138,1,1177,600,6,0,34,148,12,10,2,1,35,62,6,103,8,0,10,18,14,12,31,9,67.7,65.2,1016.4,6.1,4.3,8.0,,80.1,61.0,0.0,,1,27.487319579562346,56.901514084507021
2017,8,15,3,2017-08-15,11,0,126,0,22,0,159,0,1111,576,3,0,30,174,5,4,17,2,35,57,7,81,2,0,17,10,13,5,20,11,67.8,66.8,1014.6,4.3,4.0,8.9,,79.0,61.0,0.0,,1,24.276751292627665,56.71807843137254
2017,8,16,4,2017-08-16,18,0,109,0,40,2,167,2,1149,600,3,0,30,143,10,7,1,0,39,59,4,100,12,0,9,16,22,11,33,11,71.1,65.9,1013.0,6.8,6.5,15.9,,79.0,64.9,0.23,,1,24.809919753086419,52.50763888888887
2017,8,17,5,2017-08-17,19,1,128,0,22,1,169,2,1265,638,3,0,38,157,24,12,1,0,47,80,1,89,8,0,9,9,25,17,39,5,68.0,60.8,1016.6,9.1,5.2,8.9,,79.0,62.1,0.0,,0,23.260049125514403,50.574513888888923
2017,8,18,6,2017-08-18,8,0,131,0,19,0,158,0,1187,610,1,0,21,165,11,11,9,1,44,71,4,76,3,0,12,18,13,11,26,12,66.6,65.6,1015.2,8.0,8.8,13.0,,73.9,57.9,0.0,,0,23.420861368312757,55.107708333333335
2017,8,19,7,2017-08-19,18,0,174,2,22,0,214,2,1260,637,4,0,48,158,10,24,5,1,43,72,2,95,3,0,12,15,18,19,15,8,71.8,70.9,1010.1,5.6,12.2,21.0,28.0,78.1,57.9,1.1,,1,25.051752314814816,59.055624999999992
2017,8,20,1,2017-08-20,15,0,145,0,13,0,173,0,1064,537,5,1,26,144,11,10,2,0,43,66,1,56,7,0,4,19,16,16,27,5,72.8,68.1,1014.2,6.3,9.7,14.0,,80.1,66.9,1.01,,1,25.46422557749387,58.76745644599302
