year,month,day,day_of_week,date,total_cyclist_injured,total_cyclist_killed,collisions_w_cyclists_inj_kill,total_motorist_injured,total_motorist_killed,collisions_w_motorists_inj_kill,total_pedestrians_injured,total_pedestrians_killed,collisions_w_pedestrians_inj_kill,total_persons_injured,total_persons_killed,collisions_w_persons_inj_kill,collisions_w_fatalities,total_vehicles_involved,total_collisions,aggressive_driving_road_rage,animals_action,backing_unsafely,driver_inattention_distraction,driver_inexperience,driver_unwell_medical,environmental_defect_failure,failure_to_keep_right,failure_to_yield_right_of_way,following_too_closely,oversized_vehicle,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,physical_disability,reaction_to_uninvolved_vehicle,traffic_control_disregarded,turning_improperly,unsafe_speed,vehicle_failure,visual_distraction_obstruction,temp_c,slp_c,visib_c,wdsp_c,prcp_c,fog_c,avg_speed_all
2023,1,1,1,2023-01-01,4,0,4,106,0,64,25,1,25,135,1,91,1,547,272,1,0,6,82,5,19,8,1,21,21,0,31,5,0,1,7,3,19,8,1,50.3,1009.6,6.2,12.4,0.63,1,37.865727472899728
2023,1,2,2,2023-01-02,10,1,11,70,1,44,36,0,18,116,2,72,2,374,201,2,0,5,50,8,9,1,0,11,5,0,23,0,0,2,7,4,18,11,4,45.8,1017.7,10.0,7.6,0.2,0,39.071282181571817
2023,1,3,3,2023-01-03,9,0,9,61,0,46,28,0,28,98,0,83,0,400,220,3,0,9,53,7,1,7,0,22,7,1,15,1,0,1,3,5,11,9,10,45.6,1019.4,5.8,7.3,0.0,1,34.807424345076782
2023,1,4,4,2023-01-04,10,0,10,56,0,43,41,0,38,107,0,91,0,452,246,4,0,6,50,3,9,1,1,28,19,1,26,1,0,4,5,11,7,15,6,52.4,1011.3,3.4,8.0,0.23,1,34.558285060975606
2023,1,5,5,2023-01-05,8,1,8,82,1,51,35,0,34,125,2,93,2,415,228,1,0,9,58,3,6,2,1,26,11,2,28,2,0,1,3,9,10,11,0,49.0,1012.8,2.1,10.3,0.16,1,34.564526592140922
2023,1,6,6,2023-01-06,8,0,8,92,0,63,27,1,27,127,1,97,1,450,229,4,0,7,65,4,11,2,0,14,15,1,35,1,0,1,9,4,14,8,4,46.6,1013.4,3.7,9.0,0.1,0,33.716015977868111
2023,1,7,7,2023-01-07,7,0,7,60,0,43,13,0,12,80,0,61,0,345,177,1,0,6,52,3,8,1,1,9,15,1,20,2,0,5,11,9,10,6,2,41.2,1017.1,9.1,7.5,0.1,0,37.339038222673892
2023,1,8,1,2023-01-08,7,0,7,55,1,43,18,0,18,80,1,68,1,339,183,2,0,8,43,2,8,0,0,14,14,1,21,2,0,0,5,2,10,8,2,36.9,1022.8,10.0,9.9,0.0,0,38.826405826558265
2023,1,9,2,2023-01-09,8,0,8,79,0,55,23,0,21,110,0,84,0,437,239,3,1,11,52,5,6,2,1,13,20,2,31,1,0,4,10,6,4,15,4,41.1,1013.7,9.8,8.2,0.0,0,34.952428861788619
2023,1,10,3,2023-01-10,4,1,5,95,0,61,30,0,30,129,1,95,1,447,247,3,1,5,72,4,3,0,0,16,17,1,34,0,0,2,1,17,10,7,6,39.3,1013.2,10.0,9.7,0.02,0,35.165068694937823
